student_id,study_hours,attendance,assignment_score,previous_score,maths,dbms,python,os,ml,current_score,performance_level,strongest_subject,weakest_subject,learning_recommendation,detailed_insight,predicted_score,predicted_performance
ST0031,9,70,97,42,56,94,53,97,46,62.08,Average,os,ml,Increase study time and focus more on ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time.,64.4176,Average
ST0032,5,75,42,91,78,97,78,85,69,62.48,Average,dbms,ml,Increase study time and focus more on ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time. Spend more time completing and practicing assignments.,63.97639999999992,Average
ST0033,16,74,95,62,48,46,94,91,89,80.02,Good,python,dbms,Maintain your current performance and strengthen dbms further.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Overall performance is good. Focus on strengthening your weak areas.,79.27140000000016,Good
ST0034,14,71,79,65,74,91,86,54,48,75.2,Good,dbms,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject. Overall performance is good. Focus on strengthening your weak areas.,74.14379999999991,Average
ST0035,10,76,73,43,99,96,93,85,100,72.04,Average,ml,os,Maintain your current performance and strengthen os further.,Focus more on OS as it is your weakest subject.,70.46629999999999,Average
ST0036,17,98,79,57,52,51,58,64,74,80.56,Good,ml,dbms,Maintain your current performance and strengthen dbms further.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,77.22920000000009,Good
ST0037,16,62,66,94,54,55,93,60,47,71.06,Average,python,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,70.93280000000009,Average
ST0038,13,82,52,45,57,55,54,63,100,68.05,Average,ml,python,Complete assignments regularly and practice more in python.,Focus more on PYTHON as it is your weakest subject. Spend more time completing and practicing assignments.,67.2802000000001,Average
ST0039,5,83,84,74,90,82,67,96,63,67.28,Average,os,ml,Increase study time and focus more on ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time.,67.91410000000002,Average
ST0040,15,90,72,61,72,92,63,97,58,84.53,Good,os,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,73.65519999999997,Average
ST0041,15,84,45,82,45,75,47,44,75,72.95,Average,dbms,os,Complete assignments regularly and practice more in os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Spend more time completing and practicing assignments.,71.55349999999993,Average
ST0042,19,50,63,54,98,52,82,45,89,69.16,Average,maths,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,68.61409999999994,Average
ST0043,14,70,58,61,66,46,100,88,91,75.46,Good,python,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Spend more time completing and practicing assignments. Overall performance is good. Focus on strengthening your weak areas.,73.27480000000004,Average
ST0044,20,97,55,99,62,75,48,82,98,88.74,Good,ml,python,Complete assignments regularly and practice more in python.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments. Overall performance is good. Focus on strengthening your weak areas.,83.68969999999995,Good
ST0045,16,55,79,76,98,86,86,87,82,84.44,Good,maths,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,76.7685,Good
ST0046,16,77,67,91,66,90,72,83,66,67.71,Average,dbms,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency.,71.86960000000003,Average
ST0047,20,66,72,81,73,48,72,86,71,80.23,Good,os,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,79.57449999999987,Good
ST0048,19,54,98,51,95,71,58,62,53,75.35,Good,maths,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,74.1617000000001,Average
ST0049,18,80,98,86,85,50,42,43,96,81.6,Good,ml,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Overall performance is good. Focus on strengthening your weak areas.,80.9911000000001,Good
ST0050,18,54,87,88,77,47,49,66,57,73.94,Average,maths,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,74.87969999999991,Average
ST0051,19,87,80,81,53,72,79,57,67,80.15,Good,python,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,79.63599999999991,Good
ST0052,18,52,52,77,75,62,86,60,99,77.02,Good,ml,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Spend more time completing and practicing assignments. Overall performance is good. Focus on strengthening your weak areas.,75.44150000000015,Good
ST0053,7,72,82,57,92,64,81,67,68,66.85,Average,maths,dbms,Increase study time and focus more on dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time.,67.04260000000006,Average
ST0054,16,86,84,84,47,95,40,74,55,76.74,Good,dbms,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,77.50189999999989,Good
ST0055,11,86,64,74,74,47,68,61,74,71.84,Average,maths,dbms,Maintain your current performance and strengthen dbms further.,Focus more on DBMS as it is your weakest subject. Your attendance is good. Keep maintaining it.,65.41969999999998,Average
ST0056,8,59,92,69,58,84,89,79,86,70.39,Average,python,maths,Improve attendance and give additional attention to maths.,Focus more on MATHS as it is your weakest subject. Increase your weekly study time. Improve your attendance.,67.29279999999999,Average
ST0057,20,59,81,63,69,61,73,62,98,77.91,Good,ml,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,74.73969999999996,Average
ST0058,13,68,75,81,53,98,90,42,98,80.74,Good,dbms,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,78.84669999999991,Good
ST0059,7,66,66,69,98,43,52,79,70,59.35,Needs Improvement,maths,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time. Improve your attendance.,59.238000000000056,Average
ST0060,9,70,77,53,59,79,93,89,43,58.35,Needs Improvement,python,ml,Increase study time and focus more on ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time.,67.14120000000001,Average
ST0061,7,63,99,45,88,42,40,49,76,58.99,Needs Improvement,maths,python,Improve attendance and give additional attention to python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time. Improve your attendance.,63.02969999999999,Average
ST0062,11,58,46,42,64,68,73,64,56,56.51,Needs Improvement,python,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Improve your attendance. Spend more time completing and practicing assignments.,57.535900000000076,Average
ST0063,9,95,44,55,79,80,68,91,78,68.71,Average,os,python,Increase study time and focus more on python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments.,67.29700000000001,Average
ST0064,13,50,82,46,63,68,87,88,87,67.64,Average,os,maths,Improve attendance and give additional attention to maths.,Focus more on MATHS as it is your weakest subject. Improve your attendance.,67.06200000000001,Average
ST0065,11,100,84,91,53,73,86,47,85,79.35,Good,python,os,Maintain your current performance and strengthen os further.,Focus more on OS as it is your weakest subject. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,76.43410000000009,Good
ST0066,6,94,97,53,65,73,52,94,65,77.05,Good,os,python,Increase study time and focus more on python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,72.80320000000009,Average
ST0067,8,62,96,48,77,67,87,50,87,67.87,Average,python,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Improve your attendance.,64.68550000000003,Average
ST0068,13,53,90,54,62,52,88,100,78,73.06,Average,os,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Improve your attendance.,69.05060000000003,Average
ST0069,16,50,70,60,61,54,92,44,80,65.65,Average,python,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,66.64029999999994,Average
ST0070,18,98,62,74,87,99,100,97,43,77.38,Good,python,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,77.16190000000002,Good
ST0071,6,89,81,41,96,62,68,84,69,54.99,Needs Improvement,maths,dbms,Increase study time and focus more on dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,67.48169999999999,Average
ST0072,14,81,49,66,58,83,78,92,69,67.93,Average,os,maths,Complete assignments regularly and practice more in maths.,Focus more on MATHS as it is your weakest subject. Spend more time completing and practicing assignments.,68.96770000000006,Average
ST0073,13,83,71,41,85,65,63,94,61,57.69,Needs Improvement,os,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject.,68.98109999999998,Average
ST0074,14,77,82,74,90,43,65,76,50,73.68,Average,maths,dbms,Maintain your current performance and strengthen dbms further.,Focus more on DBMS as it is your weakest subject.,74.11530000000005,Average
ST0075,9,80,92,57,42,65,56,95,41,62.75,Average,os,ml,Increase study time and focus more on ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time.,64.19170000000001,Average
ST0076,6,57,69,53,81,79,46,98,83,54.69,Needs Improvement,os,python,Improve attendance and give additional attention to python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time. Improve your attendance.,56.26799999999997,Average
ST0077,8,88,78,59,58,48,52,84,51,62.78,Average,os,dbms,Increase study time and focus more on dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,64.2084,Average
ST0078,16,75,70,57,48,94,44,77,69,66.59,Average,dbms,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency.,67.83010000000006,Average
ST0079,19,83,57,49,67,44,65,68,75,71.48,Average,ml,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Spend more time completing and practicing assignments.,69.03970000000002,Average
ST0080,16,52,75,64,59,95,88,44,57,71.49,Average,dbms,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,70.33139999999992,Average
ST0081,11,99,41,41,84,71,42,48,65,57.04,Needs Improvement,maths,python,Complete assignments regularly and practice more in python.,Focus more on PYTHON as it is your weakest subject. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments.,58.798099999999984,Average
ST0082,16,61,53,64,46,59,46,98,92,65.62,Average,os,maths,Improve attendance and give additional attention to maths.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Spend more time completing and practicing assignments.,66.62759999999994,Average
ST0083,17,50,52,100,53,89,97,87,46,74.2,Average,python,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Spend more time completing and practicing assignments.,74.0484999999999,Average
ST0084,12,93,68,93,48,50,88,41,100,67.36,Average,ml,os,Maintain your current performance and strengthen os further.,Focus more on OS as it is your weakest subject. Your attendance is good. Keep maintaining it.,67.67049999999993,Average
ST0085,19,54,51,72,98,54,78,40,40,68.11,Average,maths,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Spend more time completing and practicing assignments.,66.27229999999994,Average
ST0086,7,79,78,75,99,71,92,79,97,66.74,Average,maths,dbms,Increase study time and focus more on dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time.,68.2099999999999,Average
ST0087,18,79,41,70,94,67,40,99,65,74.31,Average,os,python,Complete assignments regularly and practice more in python.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Spend more time completing and practicing assignments.,70.70029999999998,Average
ST0088,5,66,71,53,96,61,88,90,62,59.55,Needs Improvement,maths,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time. Improve your attendance.,60.77430000000007,Average
ST0089,8,97,52,40,99,80,56,69,65,56.43,Needs Improvement,maths,python,Increase study time and focus more on python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments.,60.50050000000001,Average
ST0090,6,96,85,85,58,56,82,50,84,66.68,Average,ml,os,Increase study time and focus more on os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,67.62310000000006,Average
ST0091,12,72,66,55,86,98,64,67,45,64.0,Average,dbms,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject.,63.14569999999999,Average
ST0092,8,64,88,93,91,65,98,83,45,75.76,Good,python,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,73.41160000000012,Average
ST0093,6,86,80,85,53,83,100,51,83,70.24,Average,python,os,Increase study time and focus more on os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,69.88689999999991,Average
ST0094,18,70,56,100,95,46,42,78,47,69.63,Average,maths,python,Complete assignments regularly and practice more in python.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Spend more time completing and practicing assignments.,71.84810000000004,Average
ST0095,10,63,79,91,77,81,54,65,63,75.35,Good,dbms,python,Improve attendance and give additional attention to python.,Focus more on PYTHON as it is your weakest subject. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,73.46860000000008,Average
ST0096,10,51,70,42,92,96,68,52,61,62.79,Average,dbms,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Improve your attendance.,61.17809999999998,Average
ST0097,14,60,73,74,100,65,92,98,58,72.61,Average,maths,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Improve your attendance.,71.11219999999999,Average
ST0098,8,100,99,80,75,64,82,47,76,67.71,Average,python,os,Increase study time and focus more on os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,69.30220000000004,Average
ST0099,10,88,63,45,79,49,71,100,57,62.62,Average,os,dbms,Maintain your current performance and strengthen dbms further.,Focus more on DBMS as it is your weakest subject. Your attendance is good. Keep maintaining it.,62.63279999999993,Average
ST0100,17,87,84,64,56,98,65,100,70,78.6,Good,os,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,78.36380000000011,Good
ST0101,19,83,74,52,69,84,99,93,76,81.3,Good,python,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Overall performance is good. Focus on strengthening your weak areas.,79.66930000000005,Good
ST0102,6,87,87,92,48,58,55,67,69,69.12,Average,ml,maths,Increase study time and focus more on maths.,Focus more on MATHS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,67.86770000000001,Average
ST0103,14,99,45,73,72,50,64,97,96,76.31,Good,os,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments. Overall performance is good. Focus on strengthening your weak areas.,75.85190000000009,Good
ST0104,16,83,58,47,95,52,93,69,81,65.05,Average,maths,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Spend more time completing and practicing assignments.,67.51570000000005,Average
ST0105,6,67,69,60,91,92,67,48,72,62.13,Average,dbms,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Improve your attendance.,62.40020000000005,Average
ST0106,14,79,46,73,64,47,48,78,49,63.08,Average,os,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Spend more time completing and practicing assignments.,64.43589999999993,Average
ST0107,18,64,49,43,53,79,95,70,76,78.22,Good,python,maths,Improve attendance and give additional attention to maths.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Spend more time completing and practicing assignments. Overall performance is good. Focus on strengthening your weak areas.,75.36400000000005,Good
ST0108,8,76,80,64,50,43,95,97,51,64.78,Average,os,dbms,Increase study time and focus more on dbms.,Focus more on DBMS as it is your weakest subject. Increase your weekly study time.,67.02789999999999,Average
ST0109,18,100,71,54,92,86,40,60,93,75.23,Good,ml,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,74.1481999999999,Average
ST0110,19,83,73,43,74,70,68,95,69,75.61,Good,os,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Overall performance is good. Focus on strengthening your weak areas.,74.63099999999991,Average
ST0111,20,87,67,84,80,67,96,86,66,83.32,Good,python,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,79.46239999999995,Good
ST0112,19,82,99,99,98,50,61,73,78,78.24,Good,maths,dbms,Maintain your current performance and strengthen dbms further.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Overall performance is good. Focus on strengthening your weak areas.,79.77649999999993,Good
ST0113,12,73,54,51,53,82,55,94,48,63.57,Average,os,ml,Complete assignments regularly and practice more in ml.,Focus more on ML as it is your weakest subject. Spend more time completing and practicing assignments.,62.67880000000001,Average
ST0114,18,64,69,71,69,40,80,70,93,72.0,Average,ml,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,72.50659999999999,Average
ST0115,11,79,76,71,80,88,90,91,60,73.42,Average,os,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject.,72.94100000000005,Average
ST0116,16,91,68,67,43,86,83,64,51,69.3,Average,dbms,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it.,70.61780000000005,Average
ST0117,13,100,61,52,98,91,90,51,94,70.25,Average,maths,os,Maintain your current performance and strengthen os further.,Focus more on OS as it is your weakest subject. Your attendance is good. Keep maintaining it.,70.5513,Average
ST0118,18,66,43,70,43,77,93,40,68,70.84,Average,python,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Spend more time completing and practicing assignments.,70.34510000000004,Average
ST0119,12,54,59,53,67,63,80,94,72,67.65,Average,os,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Improve your attendance. Spend more time completing and practicing assignments.,65.14019999999994,Average
ST0120,9,78,71,59,47,93,46,61,82,64.9,Average,dbms,python,Increase study time and focus more on python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time.,64.24059999999994,Average
ST0121,20,53,75,57,41,99,53,79,92,65.99,Average,dbms,maths,Improve attendance and give additional attention to maths.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,71.12899999999998,Average
ST0122,17,59,89,68,80,96,68,76,54,77.51,Good,dbms,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,76.5578000000001,Good
ST0123,6,66,43,99,100,86,58,86,41,55.99,Needs Improvement,maths,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time. Improve your attendance. Spend more time completing and practicing assignments.,59.89839999999993,Average
ST0124,19,59,66,45,85,70,58,40,91,65.94,Average,ml,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,65.69979999999993,Average
